+------------------+-------+---------+
|       Food       | Count | Percent |
+------------------+-------+---------+
|   cotton candy   |  345  |  17.21  |
|      cotton      |   64  |   3.19  |
|   marshmallows   |   59  |   2.94  |
|      candy       |   51  |   2.54  |
|      water       |   50  |   2.49  |
|      fluffy      |   49  |   2.44  |
|      sweet       |   36  |   1.8   |
|       top        |   34  |   1.7   |
|     cocktail     |   34  |   1.7   |
|     vanilla      |   32  |   1.6   |
|      light       |   28  |   1.4   |
|     rainbow      |   22  |   1.1   |
|     healthy      |   22  |   1.1   |
|       milk       |   21  |   1.05  |
|       fat        |   20  |   1.0   |
|     potatoes     |   19  |   0.95  |
|    chocolate     |   19  |   0.95  |
|      treats      |   18  |   0.9   |
|    strawberry    |   18  |   0.9   |
|      snacks      |   18  |   0.9   |
|  rice krispies   |   18  |   0.9   |
|      mashed      |   18  |   0.9   |
|     pancakes     |   17  |   0.85  |
|       kid        |   17  |   0.85  |
|      sugar       |   15  |   0.75  |
|    ice cream     |   15  |   0.75  |
|      touch       |   14  |   0.7   |
|       pink       |   14  |   0.7   |
|       food       |   13  |   0.65  |
|     cookies      |   13  |   0.65  |
|       well       |   12  |   0.6   |
|       long       |   11  |   0.55  |
|       life       |   11  |   0.55  |
|     sunshine     |   10  |   0.5   |
|      cream       |   10  |   0.5   |
|      coffee      |   10  |   0.5   |
|       cake       |   10  |   0.5   |
|     frosting     |   9   |   0.45  |
|     chicken      |   9   |   0.45  |
|     whipped      |   8   |   0.4   |
|   sponge cake    |   8   |   0.4   |
|      fresh       |   8   |   0.4   |
|       cool       |   8   |   0.4   |
|       cold       |   8   |   0.4   |
|      wings       |   7   |   0.35  |
|       tea        |   7   |   0.35  |
|      smart       |   7   |   0.35  |
|      great       |   7   |   0.35  |
|      fruit       |   7   |   0.35  |
|       feet       |   7   |   0.35  |
|       eggs       |   7   |   0.35  |
|     cupcakes     |   7   |   0.35  |
|      bread       |   7   |   0.35  |
|       whip       |   6   |   0.3   |
|       weed       |   6   |   0.3   |
|       tofu       |   6   |   0.3   |
|      sprite      |   6   |   0.3   |
|       roll       |   6   |   0.3   |
|    raspberry     |   6   |   0.3   |
|       hot        |   6   |   0.3   |
|      honey       |   6   |   0.3   |
|      higher      |   6   |   0.3   |
|     covered      |   6   |   0.3   |
|      cakes       |   6   |   0.3   |
|      butter      |   6   |   0.3   |
|       box        |   6   |   0.3   |
|     biscuits     |   6   |   0.3   |
|       year       |   5   |   0.25  |
|  whipped cream   |   5   |   0.25  |
|     waffles      |   5   |   0.25  |
|      spread      |   5   |   0.25  |
|       side       |   5   |   0.25  |
|        oh        |   5   |   0.25  |
|       mini       |   5   |   0.25  |
|       ice        |   5   |   0.25  |
|   butterscotch   |   5   |   0.25  |
|      banana      |   5   |   0.25  |
|      types       |   4   |   0.2   |
|      summer      |   4   |   0.2   |
|   strawberries   |   4   |   0.2   |
|     straight     |   4   |   0.2   |
|       sea        |   4   |   0.2   |
|       rum        |   4   |   0.2   |
|      rolled      |   4   |   0.2   |
|       meat       |   4   |   0.2   |
|       mash       |   4   |   0.2   |
|     lemonade     |   4   |   0.2   |
|       home       |   4   |   0.2   |
|      ground      |   4   |   0.2   |
|      green       |   4   |   0.2   |
|      grape       |   4   |   0.2   |
|      golden      |   4   |   0.2   |
|      french      |   4   |   0.2   |
|       dark       |   4   |   0.2   |
|       cup        |   4   |   0.2   |
|      cheese      |   4   |   0.2   |
|   bran flakes    |   4   |   0.2   |
|      syrup       |   3   |   0.15  |
|      stars       |   3   |   0.15  |
|      spicy       |   3   |   0.15  |
|       soup       |   3   |   0.15  |
|     skittles     |   3   |   0.15  |
|       salt       |   3   |   0.15  |
|       rose       |   3   |   0.15  |
|       rice       |   3   |   0.15  |
|       red        |   3   |   0.15  |
|     pumpkin      |   3   |   0.15  |
|      powder      |   3   |   0.15  |
|  peanut butter   |   3   |   0.15  |
|       ones       |   3   |   0.15  |
|      moose       |   3   |   0.15  |
|     lobster      |   3   |   0.15  |
|       joy        |   3   |   0.15  |
|     japanese     |   3   |   0.15  |
|      giant       |   3   |   0.15  |
|      fried       |   3   |   0.15  |
|    dumplings     |   3   |   0.15  |
|    doughnuts     |   3   |   0.15  |
|     coconut      |   3   |   0.15  |
|      child       |   3   |   0.15  |
|    cheesecake    |   3   |   0.15  |
|     caramel      |   3   |   0.15  |
|     candies      |   3   |   0.15  |
|     buttery      |   3   |   0.15  |
|      burger      |   3   |   0.15  |
|       bit        |   3   |   0.15  |
|      balls       |   3   |   0.15  |
|      almond      |   3   |   0.15  |
|      yellow      |   2   |   0.1   |
|     wrapped      |   2   |   0.1   |
