+-----------------+-------+---------+
|       Food      | Count | Percent |
+-----------------+-------+---------+
|   cotton candy  |  331  |  26.12  |
|      cotton     |   96  |   7.58  |
|   marshmallows  |   53  |   4.18  |
|     vanilla     |   46  |   3.63  |
|      candy      |   36  |   2.84  |
|      treats     |   21  |   1.66  |
|  rice krispies  |   19  |   1.5   |
|      water      |   16  |   1.26  |
|      sweet      |   15  |   1.18  |
|      fluffy     |   15  |   1.18  |
|      light      |   13  |   1.03  |
|       sun       |   11  |   0.87  |
| mashed potatoes |   11  |   0.87  |
|    chocolate    |   11  |   0.87  |
|    strawberry   |   9   |   0.71  |
|       ice       |   9   |   0.71  |
|      touch      |   8   |   0.63  |
|      mashed     |   8   |   0.63  |
|      cream      |   8   |   0.63  |
|       cool      |   8   |   0.63  |
|     cookies     |   8   |   0.63  |
|       whip      |   7   |   0.55  |
|       pink      |   7   |   0.55  |
|       feet      |   7   |   0.55  |
|     cupcakes    |   7   |   0.55  |
|       cold      |   7   |   0.55  |
|       boy       |   7   |   0.55  |
|     whipped     |   6   |   0.47  |
|      sugar      |   6   |   0.47  |
|     rainbow     |   6   |   0.47  |
|       milk      |   6   |   0.47  |
|    ice cream    |   6   |   0.47  |
|       hot       |   6   |   0.47  |
|     chicken     |   6   |   0.47  |
|     pancakes    |   5   |   0.39  |
|      louis      |   5   |   0.39  |
|       home      |   5   |   0.39  |
|      wings      |   4   |   0.32  |
|       well      |   4   |   0.32  |
|     sunshine    |   4   |   0.32  |
|      stars      |   4   |   0.32  |
|       sea       |   4   |   0.32  |
|      rolled     |   4   |   0.32  |
|        oh       |   4   |   0.32  |
|       mini      |   4   |   0.32  |
|       long      |   4   |   0.32  |
|      great      |   4   |   0.32  |
|      grape      |   4   |   0.32  |
|     frosting    |   4   |   0.32  |
|      coffee     |   4   |   0.32  |
|      cherry     |   4   |   0.32  |
|   bran flakes   |   4   |   0.32  |
|      vodka      |   3   |   0.24  |
|     sugared     |   3   |   0.24  |
|     straight    |   3   |   0.24  |
|      sprite     |   3   |   0.24  |
|       sin       |   3   |   0.24  |
|       rum       |   3   |   0.24  |
|      rising     |   3   |   0.24  |
|       rice      |   3   |   0.24  |
|    raspberry    |   3   |   0.24  |
|     potatoes    |   3   |   0.24  |
|      moose      |   3   |   0.24  |
|     mixture     |   3   |   0.24  |
|       mash      |   3   |   0.24  |
|       life      |   3   |   0.24  |
|      lemon      |   3   |   0.24  |
|      ground     |   3   |   0.24  |
|      fresh      |   3   |   0.24  |
|       eggs      |   3   |   0.24  |
|       drop      |   3   |   0.24  |
|       dark      |   3   |   0.24  |
|      cookie     |   3   |   0.24  |
|     coconut     |   3   |   0.24  |
|      cereal     |   3   |   0.24  |
|     candies     |   3   |   0.24  |
|       cake      |   3   |   0.24  |
|      bread      |   3   |   0.24  |
|      blood      |   3   |   0.24  |
|       bit       |   3   |   0.24  |
|      banana     |   3   |   0.24  |
|       year      |   2   |   0.16  |
|       wine      |   2   |   0.16  |
|  whipped cream  |   2   |   0.16  |
|     waffles     |   2   |   0.16  |
|   vanilla ice   |   2   |   0.16  |
|       tree      |   2   |   0.16  |
|       top       |   2   |   0.16  |
|      thick      |   2   |   0.16  |
|      summer     |   2   |   0.16  |
|   strawberries  |   2   |   0.16  |
|       soy       |   2   |   0.16  |
|     skittles    |   2   |   0.16  |
|       side      |   2   |   0.16  |
|      shapes     |   2   |   0.16  |
|     sandwich    |   2   |   0.16  |
|       salt      |   2   |   0.16  |
|    root beer    |   2   |   0.16  |
|       red       |   2   |   0.16  |
|     ravioli     |   2   |   0.16  |
|   raspberries   |   2   |   0.16  |
|      prior      |   2   |   0.16  |
|       pop       |   2   |   0.16  |
|       pita      |   2   |   0.16  |
|  peanut butter  |   2   |   0.16  |
|   oyster sauce  |   2   |   0.16  |
|      ocean      |   2   |   0.16  |
|     oatmeal     |   2   |   0.16  |
|       neck      |   2   |   0.16  |
|       mix       |   2   |   0.16  |
|       meat      |   2   |   0.16  |
|      mangos     |   2   |   0.16  |
|      liquid     |   2   |   0.16  |
|        la       |   2   |   0.16  |
|      icing      |   2   |   0.16  |
|      honey      |   2   |   0.16  |
|     homemade    |   2   |   0.16  |
|       heat      |   2   |   0.16  |
|     healthy     |   2   |   0.16  |
|      green      |   2   |   0.16  |
|       fun       |   2   |   0.16  |
|       full      |   2   |   0.16  |
|      fruit      |   2   |   0.16  |
|      fried      |   2   |   0.16  |
|  french vanilla |   2   |   0.16  |
|      french     |   2   |   0.16  |
|       food      |   2   |   0.16  |
